class,precision,recall,f1
open,0.952631573933518,0.9679144333266608,0.9602116965294698
short,0.869822480060222,0.9483870906555671,0.9074069027399484
mousebite,0.9134199094657147,0.9678899038170188,0.9398658659433908
spur,0.9314285661061225,0.9644970357130354,0.9476739132472892
copper,0.9181286496015869,0.9812499938671876,0.948639978204186
pinhole,0.7272727235996327,0.9599999936000001,0.827585711653085
